QUARTERS,NII,GROSS ADVANCE,GNPA,GNPAR,CASA,PCR,WDR,WLR
2016-17 Q1,18246.00,1859513.00,137662.00,7.40,42.78,61.57,7.61,11.14
2016-17 Q2,18119.00,1874715.00,159806.00,8.52,40.90,58.57,7.48,11.1
2016-17 Q3,17769.00,1877278.00,108172.00,5.76,46.55,58.96,7.33,11.06
2016-17 Q4,21065.00,1952507.00,177866.00,9.11,44.40,45.48,7.11,10.88
2017-18 Q1,17606.00,1886666.00,188068.00,9.97,44.38,60.79,6.9,10.62
2017-18 Q2,18586.00,1892440.00,186115.00,9.83,44.88,65.10,6.72,10.51
2017-18 Q3,18688.00,1924578.00,199141.00,10.35,45.13,65.92,6.51,10.33
2017-18 Q4,19974.00,2048387.00,223427.00,10.91,45.68,66.17,6.58,10.19
2018-19 Q1,21798.00,1990172.00,212840.00,10.69,45.07,69.25,6.67,10.13
2018-19 Q2,20906.00,2069234.00,205864.00,9.95,45.27,53.95,6.68,10.06
2018-19 Q3,22691.00,2155316.00,187765.00,8.71,45.23,74.63,6.75,9.98
2018-19 Q4,22954.00,2293454.00,172697.09,7.53,45.74,78.73,6.79,9.75
2019-20 Q1,22939.00,2238294.00,168543.54,7.53,45.1,79.34,6.78,9.74
2019-20 Q2,24600.00,2248313.00,161653.70,7.19,45.13,81.23,6.77,9.73
2019-20 Q3,27779.00,2301669.00,159735.83,6.94,44.72,81.73,6.6,9.61
2019-20 Q4,22767.00,2422845.00,149004.97,6.15,45.16,83.62,6.44,9.41
2020-21 Q1,26642.00,2385639.00,129778.76,5.44,45.34,86.32,6.09,9.13
2020-21 Q2,28181.00,2383624.00,140157.09,5.88,45.39,88.19,5.87,8.94
2020-21 Q3,28820.00,2456607.00,117180.15,4.77,45.15,90.21,5.6,8.75
2020-21 Q4,27067.00,2539393.00,138142.98,5.44,46.13,86.33,5.4,8.57
2021-22 Q1,27638.00,2523793.00,134265.79,5.32,45.97,85.93,5.27,8.53
2021-22 Q2,31184.00,2530777.00,124008.07,4.90,46.24,87.67,5.15,8.47
2021-22 Q3,30687.00,2664602.00,119907.09,4.50,45.74,88.32,5.12,8.39
2021-22 Q4,31198.00,2818671.00,111901.24,3.97,45.28,90.20,5.11,8.28
2022-23 Q1,31196.00,2900636.00,113414.87,3.91,45.33,90.2,5.14,8.27
2022-23 Q2,35183.00,3035071.00,106834.50,3.52,44.63,91.54,5.32,8.53
2022-23 Q3,38069.00,3133565.00,98393.94,3.14,44.48,91.52,5.62,8.82
2022-23 Q4,40393.00,3269242.00,90884.93,2.78,43.80,91.91,6.02,9.06
2023-24 Q1,38905.00,3303731.00,91182.98,2.76,42.88,91.41,6.37,9.18
2023-24 Q2,39500.00,3411252.00,86986.93,2.55,41.88,91.93,6.64,9.22
2023-24 Q3,39816.00,3584252.00,86738.90,2.42,41.18,91.49,6.84,9.25
2023-24 Q4,41655.00,3767535.00,84392.78,2.24,41.11,91.89,6.94,9.25
2024-25 Q1,41125.00,3812087.00,84247.12,2.21,40.70,91.76,6.99,9.21
2024-25 Q2,41620.00,3920719.00,83511.31,2.13,40.03,92.21,7.05,9.2
