QUARTERS,NII,GROSS ADVANCE,GNPA,GNPAR,CASA,PCR,WDR,WLR
2016-17 Q1,7781.40,470622.00,4894.47,1.04,40.00,69.60,7.69,11.54
2016-17 Q2,7993.60,494418.00,5043.06,1.02,40.00,70.60,7.54,11.47
2016-17 Q3,8309.10,495043.00,6386.05,1.29,44.00,70.00,7.38,11.3
2016-17 Q4,9055.10,555000.00,5827.50,1.05,48.00,68.60,7.05,11.09
2017-18 Q1,9370.70,580975.80,7204.10,1.24,44.00,65.00,6.88,10.76
2017-18 Q2,9752.10,604866.90,7621.32,1.26,42.90,66.20,6.75,10.7
2017-18 Q3,10314.30,631215.00,8142.67,1.29,44.00,66.30,6.67,10.52
2017-18 Q4,10657.70,658333.00,8953.33,1.36,42.00,69.70,6.78,10.47
2018-19 Q1,10813.60,708649.00,9425.03,1.33,42.00,69.50,6.94,10.52
2018-19 Q2,11763.40,750838.00,9986.15,1.33,42.00,70.00,7.04,10.8
2018-19 Q3,12576.80,780951.00,10777.12,1.38,41.00,69.70,7.17,11.05
2018-19 Q4,13089.50,819401.00,11143.85,1.36,42.00,71.30,7.24,11.03
2019-20 Q1,13294.30,829730.00,11616.22,1.40,40.00,69.60,7.22,11.11
2019-20 Q2,13515.00,896984.00,12378.38,1.38,39.00,69.70,7.15,11.12
2019-20 Q3,20842.20,936030.00,13291.63,1.42,40.00,66.70,6.91,11.11
2019-20 Q4,21236.60,993703.00,12520.66,1.26,42.00,72.00,6.65,11.02
2020-21 Q1,15665.40,1003299.00,13644.87,1.36,40.00,76.10,6.24,10.79
2020-21 Q2,15776.40,1038335.00,11214.02,1.08,42.00,69.60,5.93,10.62
2020-21 Q3,16317.60,1082324.00,8766.82,0.81,43.00,68.60,5.72,10.42
2020-21 Q4,24714.10,1132837.00,14953.45,1.32,46.00,69.80,5.53,10.24
2021-22 Q1,23297.50,1147652.00,16870.48,1.47,47.00,70.00,5.44,10.02
2021-22 Q2,25085.20,1198837.00,16184.30,1.35,47.00,71.00,5.3,9.88
2021-22 Q3,26627.00,1260863.00,15886.87,1.26,47.00,71.00,5.21,9.82
2021-22 Q4,18872.70,1368821.00,16015.21,1.17,48.00,73.00,5.15,9.71
2022-23 Q1,19481.40,1395068.00,17856.87,1.28,46.00,73.00,5.19,9.74
2022-23 Q2,21021.20,1673408.00,20582.92,1.23,45.00,73.00,5.39,10.07
2022-23 Q3,22987.80,1733204.00,21318.41,1.23,44.00,73.00,5.73,10.41
2022-23 Q4,23351.80,1883395.00,21094.02,1.12,44.00,76.00,6.12,10.6
2023-24 Q1,23599.10,1913096.00,22383.22,1.17,42.00,75.00,6.45,10.76
2023-24 Q2,27385.20,2172858.00,29116.30,1.34,38.00,74.00,6.64,10.78
2023-24 Q3,28470.00,2214000.00,27896.40,1.26,38.00,75.00,6.77,10.72
2023-24 Q4,29080.00,2379800.00,29509.52,1.24,38.00,74.00,6.82,10.75
2024-25 Q1,29840.00,2379100.00,31642.03,1.33,36.00,71.00,6.87,10.82
2024-25 Q2,30110.00,2500100.00,34001.36,1.36,35.00,70.00,6.85,10.96
